sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","120s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31294","120s","","Failed","Manual Only"
"C31285","","","","Manual Only"
"C31285","120s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31287","300s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31288","120s","","Passed","Manual Only"
"C31289","120s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31289","","","Passed","Manual Only"
"C31290","120s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C31290","","","Passed","Manual Only"
"C34056","120s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C34056","","","Passed","Manual Only"
"C31286","120s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C31286","","","Passed","Manual Only"
"C64134","120s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C64134","","","Passed","Manual Only"
"C31291","","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","97s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","86s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","122s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C2770","246s","INWK.EStore.srprofile","Passed","Automated"
"C2770","","INWK.EStore.srprofile","","Automated"
"C4668","","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","73s","INWK.EStore.srprofile","Passed","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","181s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3108","","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3103","","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","145s","INWK.EStore.srprofile","Passed","Automated"
"C31297","132s","INWK.EStore.srprofile","Retest","Automated"
"C31297","123s","INWK.EStore.srprofile","Retest","Automated"
"C31297","171s","INWK.EStore.srprofile","Retest","Automated"
"C31297","125s","INWK.EStore.srprofile","Retest","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","129s","INWK.EStore.srprofile","Passed","Automated"
"C31298","158s","INWK.EStore.srprofile","Retest","Automated"
"C31298","151s","INWK.EStore.srprofile","Retest","Automated"
"C31298","162s","INWK.EStore.srprofile","Retest","Automated"
"C31298","160s","INWK.EStore.srprofile","Retest","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","73s","INWK.EStore.srprofile","Passed","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","497s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","104s","INWK.EStore.srprofile","Passed","Automated"
